schema_version,intent_type,client_batch_ref,client_payout_ref,amount.value,amount.currency,beneficiary.name,account_number,beneficiary.instrument.kind,beneficiary.instrument.ifsc,beneficiary.instrument.vpa,beneficiary.country,remitter.customer_id,remitter.phone,remitter.email,purpose_code,provider_hint,intended_execution_at,idempotency_key,source,source_system,constraints.execution_window
v1,PAYOUT,BATCH-001,PAY-001,5500.00,INR,Apex Components Pvt Ltd,914400007910,BANK,HDFC0001234,,IN,CUST-700001,+9198300031,demo.001@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-001,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-002,2200.00,INR,Northwind Supplies,914400007911,BANK,HDFC0001234,,IN,CUST-700002,+9198300032,demo.002@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-002,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-003,5600.00,INR,Brightline Media,914400007912,BANK,HDFC0001234,,IN,CUST-700003,+9198300033,demo.003@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-003,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-004,2900.00,INR,Summit Components,914400007913,BANK,HDFC0001234,,IN,CUST-700004,+9198300034,demo.004@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-004,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-005,2400.00,INR,Meridian Services,914400007914,BANK,HDFC0001234,,IN,CUST-700005,+9198300035,demo.005@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-005,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-006,1800.00,INR,Local Tools Co,914400007915,BANK,HDFC0001234,,IN,CUST-700006,+9198300036,demo.006@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-006,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-007,2600.00,INR,Horizon Logistics,914400007916,BANK,HDFC0001234,,IN,CUST-700007,+9198300037,demo.007@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-007,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-008,3900.00,INR,Cedar Softwares,914400007917,BANK,HDFC0001234,,IN,CUST-700008,+9198300038,demo.008@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-008,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-009,900.00,INR,Pacific Packaging,914400007918,BANK,HDFC0001234,,IN,CUST-700009,+9198300039,demo.009@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-009,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-010,5000.00,INR,Vertex Alloys,914400007919,BANK,HDFC0001234,,IN,CUST-700010,+9198300040,demo.010@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-010,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-011,1700.00,INR,Indigo Textiles,914400007920,BANK,HDFC0001234,,IN,CUST-700011,+9198300041,demo.011@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-011,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-012,2800.00,INR,Orion Chemicals,914400007921,BANK,HDFC0001234,,IN,CUST-700012,+9198300042,demo.012@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-012,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-013,1400.00,INR,Maple Print House,914400007922,BANK,HDFC0001234,,IN,CUST-700013,+9198300043,demo.013@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-013,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-014,3400.00,INR,Nova Electrics,914400007923,BANK,HDFC0001234,,IN,CUST-700014,+9198300044,demo.014@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-014,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-015,2100.00,INR,Silverline Foods,914400007924,BANK,HDFC0001234,,IN,CUST-700015,+9198300045,demo.015@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-015,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-016,1300.00,INR,Atlas Couriers,914400007925,BANK,HDFC0001234,,IN,CUST-700016,+9198300046,demo.016@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-016,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-017,4100.00,INR,Prime Bearing Co,914400007926,BANK,HDFC0001234,,IN,CUST-700017,+9198300047,demo.017@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-017,DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,BATCH-001,PAY-018,1100.00,INR,Eastgate Plastics,914400007927,BANK,HDFC0001234,,IN,CUST-700018,+9198300048,demo.018@acme.example,VENDOR_PAYMENT,hdfc,2026-06-12T02:30:00Z,idem-batch-001-018,DEMO_SAMPLE,erp_file,09:00-18:00
