transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,card_type,issuer_name,entity_created_at,payment_captured_at,payment_notes,refund_notes,arn,entity_description,order_id,order_receipt,order_notes,dispute_id,dispute_created_at,dispute_reason,settlement_id,settled_at
payout,razorpay,2155.11,INR,0.00,0.00,0.00,2155.11,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Aarav Mehta,CUST-YC-700001,ZORD_SCN01_PAY_001,,,,,settle_yc_001,2026-06-12 16:00:00
payout,razorpay,2160.22,INR,0.00,0.00,0.00,2160.22,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Vihaan Shah,CUST-YC-700002,ZORD_SCN01_PAY_002,,,,,settle_yc_002,2026-06-12 16:00:00
payout,razorpay,2265.33,INR,0.00,0.00,0.00,2265.33,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Aditya Rao,CUST-YC-700003,ZORD_SCN01_PAY_003,,,,,settle_yc_003,2026-06-12 16:00:00
payout,razorpay,2170.44,INR,0.00,0.00,0.00,2170.44,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Arjun Nair,CUST-YC-700004,ZORD_SCN01_PAY_004,,,,,settle_yc_004,2026-06-12 16:00:00
payout,razorpay,2175.55,INR,0.00,0.00,0.00,2175.55,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Kabir Iyer,CUST-YC-700005,ZORD_SCN01_PAY_005,,,,,settle_yc_005,2026-06-12 16:00:00
payout,razorpay,2180.66,INR,0.00,0.00,0.00,2180.66,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Reyansh Gupta,CUST-YC-700006,ZORD_SCN01_PAY_006,,,,,settle_yc_006,2026-06-12 16:00:00
payout,razorpay,2185.77,INR,0.00,0.00,0.00,2185.77,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Vivaan Joshi,CUST-YC-700007,ZORD_SCN01_PAY_007,,,,,settle_yc_007,2026-06-12 16:00:00
payout,razorpay,2190.88,INR,0.00,0.00,0.00,2190.88,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Shaurya Desai,CUST-YC-700008,ZORD_SCN01_PAY_008,,,,,settle_yc_008,2026-06-12 16:00:00
payout,razorpay,2195.99,INR,0.00,0.00,0.00,2195.99,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Atharv Reddy,CUST-YC-700009,ZORD_SCN01_PAY_009,,,,,settle_yc_009,2026-06-12 16:00:00
payout,razorpay,2201.10,INR,0.00,0.00,0.00,2201.10,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Krishna Pillai,CUST-YC-700010,ZORD_SCN01_PAY_010,,,,,settle_yc_010,2026-06-12 16:00:00
payout,razorpay,2210.11,INR,0.00,0.00,0.00,2090.11,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,short settlement demo,,,Payout for Dev Patel,CUST-YC-700011,ZORD_SCN01_PAY_011,,,,,settle_yc_011,2026-06-12 16:00:00
payout,razorpay,2211.32,INR,0.00,0.00,0.00,2211.32,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Ishaan Banerjee,CUST-YC-700012,ZORD_SCN01_PAY_012,,,,,settle_yc_012,2026-06-12 16:00:00
payout,razorpay,2216.43,INR,0.00,0.00,0.00,2216.43,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Rudra Chatterjee,CUST-YC-700013,ZORD_SCN01_PAY_013,,,,,settle_yc_013,2026-06-12 16:00:00
payout,razorpay,2221.54,INR,0.00,0.00,0.00,2221.54,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Yash Malhotra,CUST-YC-700014,ZORD_SCN01_PAY_014,,,,,settle_yc_014,2026-06-12 16:00:00
payout,razorpay,2226.65,INR,0.00,0.00,0.00,2226.65,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Om Kapoor,CUST-YC-700015,ZORD_SCN01_PAY_015,,,,,settle_yc_015,2026-06-12 16:00:00
payout,razorpay,2231.76,INR,0.00,0.00,0.00,2231.76,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Sai Menon,CUST-YC-700016,ZORD_SCN01_PAY_016,,,,,settle_yc_016,2026-06-12 16:00:00
payout,razorpay,2236.87,INR,0.00,0.00,0.00,2236.87,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Ayaan Kulkarni,CUST-YC-700017,ZORD_SCN01_PAY_017,,,,,settle_yc_017,2026-06-12 16:00:00
payout,razorpay,2241.98,INR,0.00,0.00,0.00,2241.98,bank_transfer,,,2026-06-12 10:00:00,2026-06-12 14:40:00,exact match,,,Payout for Rohan Bhat,CUST-YC-700018,ZORD_SCN01_PAY_018,,,,,settle_yc_018,2026-06-12 16:00:00
