schema_version,intent_type,client_batch_ref,client_payout_ref,amount.value,amount.currency,beneficiary.name,account_number,beneficiary.instrument.kind,beneficiary.instrument.ifsc,beneficiary.instrument.vpa,beneficiary.country,remitter.customer_id,remitter.phone,remitter.email,purpose_code,provider_hint,intended_execution_at,idempotency_key,source,source_system,constraints.execution_window
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_001,2155.11,INR,Aarav Mehta,914400007911,BANK,HDFC0001234,,IN,CUST-YC-700001,+9198300031,yc.demo.001@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-001,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_002,2160.22,INR,Vihaan Shah,914400007912,BANK,HDFC0001234,,IN,CUST-YC-700002,+9198300032,yc.demo.002@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-002,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_003,2265.33,INR,Aditya Rao,914400007003,BANK,HDFC0001234,,IN,CUST-YC-700003,+9198300033,yc.demo.003@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-003,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_004,2170.44,INR,Arjun Nair,914400007914,BANK,HDFC0001234,,IN,CUST-YC-700004,+9198300034,yc.demo.004@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-004,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_005,2175.55,INR,Kabir Iyer,914400007915,BANK,HDFC0001234,,IN,CUST-YC-700005,+9198300035,yc.demo.005@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-005,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_006,2180.66,INR,Reyansh Gupta,914400007916,BANK,HDFC0001234,,IN,CUST-YC-700006,+9198300036,yc.demo.006@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-006,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_007,2185.77,INR,Vivaan Joshi,914400007917,BANK,HDFC0001234,,IN,CUST-YC-700007,+9198300037,yc.demo.007@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-007,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_008,2190.88,INR,Shaurya Desai,914400007918,BANK,HDFC0001234,,IN,CUST-YC-700008,+9198300038,yc.demo.008@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-008,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_009,2195.99,INR,Atharv Reddy,914400007919,BANK,HDFC0001234,,IN,CUST-YC-700009,+9198300039,yc.demo.009@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-009,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_010,2201.10,INR,Krishna Pillai,914400007920,BANK,HDFC0001234,,IN,CUST-YC-700010,+9198300040,yc.demo.010@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-010,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_011,2210.11,INR,Dev Patel,914400007921,BANK,HDFC0001234,,IN,CUST-YC-700011,+9198300041,yc.demo.011@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-011,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_012,2211.32,INR,Ishaan Banerjee,914400007922,BANK,HDFC0001234,,IN,CUST-YC-700012,+9198300042,yc.demo.012@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-012,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_013,2216.43,INR,Rudra Chatterjee,914400007923,BANK,HDFC0001234,,IN,CUST-YC-700013,+9198300043,yc.demo.013@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-013,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_014,2221.54,INR,Yash Malhotra,914400007924,BANK,HDFC0001234,,IN,CUST-YC-700014,+9198300044,yc.demo.014@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-014,YC_DEMO_SAMPLE,erp_file,09:00-18:00
v1,PAYOUT,ZORD_YC_DEMO_BATCH_20260612,ZORD_SCN01_PAY_015,2226.65,INR,Om Kapoor,914400007925,BANK,HDFC0001234,,IN,CUST-YC-700015,+9198300045,yc.demo.015@example.test,VENDOR_PAYMENT,razorpay,2026-06-12T02:30:00Z,idem-yc-ZORD_YC_DEMO_BATCH_20260612-015,YC_DEMO_SAMPLE,erp_file,09:00-18:00
